sl no,Detection Name,Category,TTP,Severity
2515,Suspicious High IntegrityLevel Conhost Legacy Option,windows,T1202,informational
2516,Suspicious HWP Sub Processes,windows,"T1566.001, T1203, T1059.003",high
2517,Suspicious Hyper-V Cmdlets,windows,T1564.006,medium
2518,Suspicious IIS Module Registration,windows,T1505.004,high
2519,Suspicious IIS URL GlobalRules Rewrite Via AppCmd,windows,,medium
2520,Suspicious Interactive PowerShell as SYSTEM,windows,T1059.001,high
2521,Suspicious Invoke-Item From Mount-DiskImage,windows,T1553.005,medium
2522,Suspicious Invoke-WebRequest Execution,windows,T1105,high
2523,Suspicious Invoke-WebRequest Execution With DirectIP,windows,T1105,medium
2524,Suspicious IO.FileStream,windows,T1070.003,medium
2525,Suspicious JavaScript Execution Via Mshta.EXE,windows,T1218.005,high
2526,Suspicious Kerberos RC4 Ticket Encryption,windows,T1558.003,medium
2527,Suspicious Kerberos Ticket Request via CLI,windows,T1558.003,high
2528,Suspicious Kerberos Ticket Request via PowerShell Script - ScriptBlock,windows,T1558.003,high
2529,Suspicious Kernel Dump Using Dtrace,windows,T1082,high
2530,Suspicious Key Manager Access,windows,T1555.004,high
2531,Suspicious Keyboard Layout Load,windows,T1588.002,medium
2532,Suspicious LDAP-Attributes Used,windows,T1001.003,high
2533,Suspicious LNK Command-Line Padding with Whitespace Characters,windows,T1204.002,high
2534,Suspicious LNK Double Extension File Created,windows,T1036.007,medium
2535,Suspicious Loading of Dbgcore/Dbghelp DLLs from Uncommon Location,windows,"T1003, T1685",high
2536,Suspicious LSASS Access Via MalSecLogon,windows,T1003.001,high
2537,Suspicious Machine Account Replication - DcSync Indicator,windows,T1003.006,medium
2538,Suspicious Manipulation Of Default Accounts Via Net.EXE,windows,T1560.001,high
2539,Suspicious Microsoft Office Child Process,windows,"T1047, T1204.002, T1218.010",high
2540,Suspicious Microsoft OneNote Child Process,windows,"T1566, T1566.001",high
2541,Suspicious Modification Of Scheduled Tasks,windows,T1053.005,high
2542,Suspicious Mount-DiskImage,windows,T1553.005,low
2543,Suspicious Msbuild Execution By Uncommon Parent Process,windows,,medium
2544,Suspicious MSDT Parent Process,windows,"T1036, T1218",high
2545,Suspicious MSExchangeMailboxReplication ASPX Write,windows,"T1190, T1505.003",high
2546,Suspicious MSHTA Child Process,windows,T1218.005,high
2547,Suspicious Mshta.EXE Execution Patterns,windows,T1106,high
2548,Suspicious MsiExec Embedding Parent,windows,T1218.007,medium
2549,Suspicious Msiexec Execute Arbitrary DLL,windows,T1218.007,medium
2550,Suspicious Msiexec Quiet Install From Remote Location,windows,T1218.007,medium
2551,Suspicious Mstsc.EXE Execution With Local RDP File,windows,T1219.002,high
2552,Suspicious Network Command,windows,T1016,low
2553,Suspicious Network Connection Binary No CommandLine,windows,,high
2554,Suspicious Network Connection to IP Lookup Service APIs,windows,T1016,medium
2555,Suspicious New Service Creation,windows,T1543.003,high
2556,Suspicious New-PSDrive to Admin Share,windows,T1021.002,medium
2557,Suspicious Non PowerShell WSMAN COM Provider,windows,"T1059.001, T1021.003",medium
2558,Suspicious Non-Browser Network Communication With Google API,windows,T1102,medium
2559,Suspicious Non-Browser Network Communication With Telegram API,windows,"T1102, T1567, T1105",medium
2560,Suspicious NTLM Authentication on the Printer Spooler Service,windows,T1212,high
2561,Suspicious Obfuscated PowerShell Code,windows,,high
2562,Suspicious Outbound SMTP Connections,windows,T1048.003,medium
2563,Suspicious Outlook Child Process,windows,T1204.002,high
2564,Suspicious Outlook Macro Created,windows,"T1137, T1008, T1546",high
2565,Suspicious Parent Double Extension File Execution,windows,T1036.007,high
2566,Suspicious Path In Keyboard Layout IME File Registry Value,windows,T1685,high
