sl no,Detection Name,Category,TTP,Severity
2508,Suspicious Calculator Usage,windows,T1036,high
2509,Suspicious Camera and Microphone Access,windows,"T1125, T1123",high
2510,Suspicious CertReq Command to Download,windows,T1105,high
2511,Suspicious Child Process Created as System,windows,T1134.002,high
2512,Suspicious Child Process of AspNetCompiler,windows,T1127,high
2513,Suspicious Child Process Of BgInfo.EXE,windows,"T1059.005, T1218, T1202",high
2514,Suspicious Child Process Of Manage Engine ServiceDesk,windows,T1102,high
2515,Suspicious Child Process of Notepad++ Updater - GUP.Exe,windows,"T1195.002, T1557",high
2516,Suspicious Child Process Of SQL Server,windows,"T1505.003, T1190",high
2517,Suspicious Child Process Of Veeam Dabatase,windows,,critical
2518,Suspicious Child Process Of Wermgr.EXE,windows,"T1055, T1036",high
2519,Suspicious Chromium Browser Instance Executed With Custom Extension,windows,T1176.001,high
2520,Suspicious ClickFix/FileFix Execution Pattern,windows,"T1204.001, T1204.004",high
2521,Suspicious Cobalt Strike DNS Beaconing - DNS Client,windows,T1071.004,critical
2522,Suspicious Cobalt Strike DNS Beaconing - Sysmon,windows,T1071.004,critical
2523,Suspicious CodePage Switch Via CHCP,windows,T1036,medium
2524,Suspicious Command Patterns In Scheduled Task Creation,windows,T1053.005,high
2525,Suspicious Computer Machine Password by PowerShell,windows,T1078,medium
2526,Suspicious Connection to Remote Account,windows,T1110.001,low
2527,Suspicious Control Panel DLL Load,windows,T1218.011,high
2528,Suspicious Copy From or To System Directory,windows,T1036.003,medium
2529,Suspicious Creation with Colorcpl,windows,T1564,high
2530,Suspicious Cross-User Process Spawn,windows,"T1055, T1134",medium
2531,Suspicious Csi.exe Usage,windows,"T1072, T1218",medium
2532,Suspicious Curl.EXE Download,windows,T1105,high
2533,Suspicious CustomShellHost Execution,windows,T1216,high
2534,Suspicious Debugger Registration Cmdline,windows,T1546.008,high
2535,Suspicious Deno File Written from Remote Source,windows,"T1204, T1059.007, T1105",low
2536,Suspicious Desktopimgdownldr Command,windows,T1105,high
2537,Suspicious Desktopimgdownldr Target File,windows,T1105,high
2538,Suspicious Diantz Alternate Data Stream Execution,windows,T1564.004,medium
2539,Suspicious Diantz Download and Compress Into a CAB File,windows,T1105,medium
2540,Suspicious Digital Signature Of AppX Package,windows,,medium
2541,Suspicious DLL Loaded via CertOC.EXE,windows,T1218,high
2542,Suspicious DNS Query for IP Lookup Service APIs,windows,T1590,medium
2543,Suspicious DNS Query Indicating Kerberos Coercion via DNS Object SPN Spoofing,windows,"T1557.001, T1187",high
2544,Suspicious DotNET CLR Usage Log Artifact,windows,T1218,high
2545,Suspicious Double Extension File Execution,windows,T1566.001,high
2546,Suspicious Double Extension Files,windows,T1036.007,high
2547,Suspicious Download From Direct IP Via Bitsadmin,windows,"T1197, T1036.003",high
2548,Suspicious Download From File-Sharing Website Via Bitsadmin,windows,"T1197, T1036.003, T1105",high
2549,Suspicious Download from Office Domain,windows,"T1105, T1608",high
2550,Suspicious Download Via Certutil.EXE,windows,"T1027, T1105",medium
2551,Suspicious Driver Install by pnputil.exe,windows,T1547,medium
2552,Suspicious Driver/DLL Installation Via Odbcconf.EXE,windows,T1218.008,high
2553,Suspicious Dropbox API Usage,windows,"T1105, T1567.002",high
2554,Suspicious DumpMinitool Execution,windows,"T1036, T1003.001",high
2555,Suspicious Electron Application Child Processes,windows,,medium
2556,Suspicious Encoded And Obfuscated Reflection Assembly Load Function Call,windows,"T1059.001, T1027",high
2557,Suspicious Encoded PowerShell Command Line,windows,T1059.001,high
2558,Suspicious Encoded Scripts in a WMI Consumer,windows,"T1047, T1546.003",high
2559,Suspicious Environment Variable Has Been Registered,windows,,high
2560,Suspicious Eventlog Clear,windows,T1685.005,medium
2561,Suspicious Eventlog Clearing or Configuration Change Activity,windows,"T1685.005, T1685.001",high
2562,Suspicious Executable File Creation,windows,T1564,high
2563,Suspicious Execution From Outlook Temporary Folder,windows,T1566.001,high
2564,Suspicious Execution Location Of Wermgr.EXE,windows,,high
2565,Suspicious Execution of Hostname,windows,T1082,low
2566,Suspicious Execution of InstallUtil Without Log,windows,,medium
2567,Suspicious Execution of Powershell with Base64,windows,T1059.001,medium
2568,Suspicious Execution Of Renamed Sysinternals Tools - Registry,windows,T1588.002,high
2569,Suspicious Execution of Shutdown,windows,T1529,medium
2570,Suspicious Execution of Shutdown to Log Out,windows,T1529,medium
2571,Suspicious Execution of Systeminfo,windows,T1082,low
2572,Suspicious Explorer Process with Whitespace Padding - ClickFix/FileFix,windows,"T1204.004, T1027.010",high
2573,Suspicious Extrac32 Alternate Data Stream Execution,windows,T1564.004,medium
2574,Suspicious Extrac32 Execution,windows,T1105,medium
2575,Suspicious File Access to Browser Credential Storage,windows,"T1555.003, T1217",low
2576,Suspicious File Characteristics Due to Missing Fields,windows,T1059.006,medium
